query,gold_score,label_source,source
What is a compound statement?,1,claude,pool
"Assess the efficiency of user training programs in mitigating security risks by analyzing the extent to which they provide comprehensive education on safe data handling, the frequency and manner in which the training is delivered, and the level of engagement and retention demonstrated by employees.",6,claude,pool
Paraphrase the input sentence and make sure the output should contain a antonym of the existing word in the sentence.,2,claude,pool
Explain the importance of planning an event.,2,claude,pool
"Conduct a thorough analysis on the various methods and approaches utilized by drug rehabilitation programs, and assess their overall effectiveness in reducing the likelihood of recurring criminal behavior among participants. Additionally, investigate the role of individual factors such as age, gender, and substance abuse history in determining the efficacy of these programs, and explore potential areas for improvement in program design and implementation to further reduce recidivism rates.",7,human,existing_gold
What example of a cancer could cause blood in the urine?,2,claude,pool
Is Mount Fuji a mountain or a volcano?,1,claude,pool
Name 5 songs that express positive emotions,1,human,existing_gold
Generate an example of a data set with 100 records of customers and their corresponding occupations.,3,claude,pool
Derive the Black-Scholes-Merton partial differential equation from the assumption of geometric Brownian motion and a risk-free hedge portfolio.,9,human,hand
Give me a list of certain insurances that I should take when moving to Germany.,3,human,existing_gold
"Given a fact, come up with a question to which it is the answer.",2,claude,pool
Develop a detailed strategic plan for a philanthropic organization aimed at promoting environmental justice.,6,claude,pool
Design a concurrent data structure that supports lock-free stack operations and argue its linearizability under contention.,8,human,hand
"What plans does Vice CEO Nancy Dubuc have for the company's future, and how does she plan to put it on a path to profitability? Generate according to: Dubuc, in an October interview with THR, was forthcoming about her plans to reorient Vice for the future and tighten its spending in order to put it on a path to profitability, acknowledging that she was ""not going to rule out more"" layoffs at the company. Vice last year implemented a hiring freeze and attempted to reduce some of its workforce through attrition, but once executives finalized the strategic plan for the year, they made the decision to complete most of the cuts through layoffs. The changes at Vice come amid an industry-wide contraction as online publishers that flourished during the heyday of social video look to rein in spending and live up to the expectations of the venture capital and traditional media investors that pumped billions into their businesses. This week BuzzFeed completed a round of layoffs that impacted 15 percent of its staff, or around 250 jobs, and Refinery29 cut 10 percent of its workforce last year. Feb. 1, 7 a.m. Updated to reflect that Vice's 2018 revenue was reportedly between $600 million and $650 million.",3,human,existing_gold
"Let A = {1, 3, 5} and B = {2, 4}. Find (A ∩ B) × A and (A × B) ∩ (A × A).",3,claude,pool
Describe the role of central banks in controlling inflation through open-market operations and explain the transmission mechanism from interest rates to aggregate demand.,5,human,hand
Translate this sentence from English to French He is a great leader,1,claude,pool
What film released and set in 1985 features Doc Brown's Delorean time machine that takes Marty McFly back to 1955 where he inadvertently prevented his birth by intervening when his mother and father first met and fell in love?,1,claude,pool
"Provide a detailed account of the strategies and techniques you have used to improve your communication skills and be more successful in managing difficult conversations with your boss or manager. Please include any specific examples of challenging situations you have encountered, and describe how you overcame them using effective communication techniques such as active listening, empathy, and assertiveness. Additionally, discuss any training programs, books, or other resources you have utilized to develop these skills, and provide specific examples of how you have integrated these strategies into your daily interactions with your boss or manager.",5,claude,pool
Was Furze Hill an established community in the 19th century?,2,claude,pool
Open the document and edit the spelling mistakes.,2,claude,pool
When was the attack on Pearl Harbor,1,claude,pool
Identify the fear of heights.,1,claude,pool
How can we encourage the youth to become actively involved in promoting respect for different viewpoints in our neighborhoods?,3,claude,pool
What percentage of the world is left-handed?,1,claude,pool
Compare two types of media outlets: print and digital.,3,claude,pool
"Given the text: team, and I am excited to introduce the very talented Graphic Designer Emma Holder. She is originally from Wisconsin, but moved to New York this summer to join Openhouse. She studied at Bradley University and this is her first ""real"" job as a graphic designer- we LOVE all the branding and promotion material she has designed so far and look forward to seeing all the new work she is currently working on. For me, this varies a lot depending on the project - sometimes I search the web or look at magazine or go for a walk and just think. I'm kind of a Tumblr addict, but I also really enjoy It's Nice That and The Dieline for design, The Man Repeller for fashion and fun. One of the most interesting or challenging projects you have worked on so far? It's hard to say what was more challenging - working as a student on my own designs and working with the gallery present two very different kind of challenges. Eventually I'd love love love to work only on branding. Either on my own or with a design firm. How does living in NY inspire your creativity and work? To be honest I'm not sure I've fully let NY influence me yet - but I really should! Anything about pop ups youd like to share with our audience? They're probably the best form of marketing and everyone should do more of them all the time every day. Can you tell us more about Emma Holder's background and how she joined Openhouse?",2,claude,pool
