query,difficulty_score
What would be the best type of exercise for a person who has arthritis?,3
Calculate the atomic mass for lithium.,1
Convert the following binary code to ASCII characters.,3
Take this sentence and make it more descriptive: She was scared.,1
Brainstorm 3 possible ideas to promote the following product,2
Rewrite the sentence using imperative mood.,1
Describe a picnic vacation where four people are travelling together.,2
Explain the concept of Big Data and what it means for companies and customers.,4
Analyze the given phrase in terms of its connotations.,3
List three potential sources for the following research problem.,3
Arrange the following countries in ascending order of GDP per capita.,3
Name the boat depicted in the provided photo.,1
Edit the grammar and punctuation of the given sentence.,2
Calculate the length of the hypotenuse in the following triangle.,1
How many instruments does a symphony orchestra typically have?,1
"Summarize the phrase: ""GPT is a natural language processing architecture.""",1
Tell me the name of the capital of France. Output the name.,0
Brainstorm five questions that you could ask a customer to better understand their needs.,2
Brainstorm different ways to cook a specific type of food.,2
"Generate an example of a customer service conversation involving the keyword ""shipping"".",2
What is arithmetic mean and how to calculate it?,1
Describe a method for detecting spam emails.,3
Develop a computer program that adds two numbers.,1
How can one reduce the number of distractions when studying?,2
Construct an algorithm to solve the given problem.,1
Pick out the proper noun from this sentence:,1
Generate a list of interview questions for a software development role.,2
What are the components of a well-balanced meal?,1
Categorize the following movies into either comedy or drama.,1
Generate a story about a family who adopts a pet.,2
Find out what year the company was founded.,1
Give the name and a brief description of a type of user interface.,1
Give an example of an appropriate reminder that could be set using a GPT model.,1
Invent a creative way to use virtual reality technology.,2
Identify any counterarguments to this statement.,3
Find a creative way to promote a business.,2
"Rewrite the following sentence without using the word ""bad"": ""The food was bad.""",1
Define the following phrase.,1
Discard all characters that are not letters from the following string.,1
Write a review for a car rental agency that frequently overcharged you.,2
What is the importance of nutrition in maintaining physical health?,3
Explain what kinds of benefits does AI have in the healthcare sector.,3
Assign an appropriate age rating to the following movie: Movie: Avengers: Endgame,1
What are the three most important skills that a computer programmer should have?,2
Generate a tag line for a cafe.,1
How can we inspire more people to become coding experts?,2
List three sites of historical importance in London.,1
Brainstorm three relevant topics for the article,1
Create a character sketch of the protagonist of the book.,3
Critique a piece of modern art.,3
Suggest three possible applications that could be built from GPT technology.,3
What is the best way to take care of a rose plant?,2
Create a prioritized list of activities to complete given the context.,3
Generate a list of five items that would make a perfect picnic lunch,1
Come up with a word cloud based on the following theme: pollution.,2
Compare two types of media outlets: print and digital.,3
Determine the part of speech of the bolded word.,1
Edit this sentence to have proper capitalization.,0
Name three methods for authentication.,1
State the conclusion based on the passage.,2
Analyze the following text for subject-verb agreement mistakes.,3
Tell the name of a famous mathematician.,1
"From the passage below, identify what words have similar meaning.",2
What type of government does Spain currently have?,1
List three benefits of using social media.,1
Write a summary of the given article in no more than 5 sentences.,2
Come up with a creative idea for a children's book.,2
Categorize the following fruits according to color,1
Give an example of a data mining problem that consists of open-ended generation.,4
Create a link to an online store that sells books.,1
Create a dialogue between two people having a conversation about going to the beach.,2
Name two positive qualities that a good waiter should possess,1
Categorize the following characters into heroes and villains.,2
Name one type of training that companies can provide for their employees?,1
Arrange the items in alphabetical order.,1
"What is the time in Oslo, Norway?",1
Rewrite this sentence to use strong language.,1
Give a rule of thumb for managing projects,2
Name two types of physical stimuli that animals can detect.,1
Write the meaning of the phrase 'cost of living'.,1
Generate a list of jobs that involve writing skills.,1
Create a marketing plan for reaching a young adult demographic,4
Take the input sentence and make it more expressive by adding a metaphor.,2
"Generate an HTML page that contains the text ""Welcome to my page"".",1
Construct a metaphor that compares love to a plant.,2
Insert a semantically appropriate sentence at the beginning of the following text so that the topic is introduced smoothly.,2
Replace the <mask> in the following sentence with the most appropriate synonym.,1
Calculate the average value from the given numbers,1
How do you respond to a negative comment on social media?,3
Find the synonyms of the following word: 'Tenacious'.,1
Deduce the meaning of the following word by using the context.,1
Suggest a way to add the following information in the given paragraph.,2
Edit the given code to optimize its performance.,1
Classify the given input sentence in 4 classes.,2
"Given the following sentence, add a transition word to make the sentence better.",1
Come up with 5 new ideas for a product design.,3
"Provide a context to this sentence: ""He suggested the theory""",2
Describe the main differences between a voice assistant and a chatbot in two sentences.,2
"Edit the following sentence to make it more formal: ""My phone got stolen so I need to buy a new one""",1
Suggest five ways to budget your expenses.,2
What is a disadvantage of using a deep learning network to perform object detection?,3
Generate a memorable metaphor,2
"Analyze the character of Daisy Buchanan, in The Great Gatsby",5
Explain why English is a difficult language to learn.,2
What changes can be made to make the following phrase easier to understand?,2
Generate a list of 5 items that I need to pack for a vacation.,1
"Write a classification model to classify movie reviews as negative, neutral or positive.",5
Compress the following text using Lempel-Ziv-Welch (LZW) algorithm,5
"Given the input, state the relationship between the two objects.",1
Generate a list of five positive attitudes.,1
"Given a numerical value, compute its square root.",1
Write a sentence explaining how eating healthy benefits the human body?,1
Explain why it is important to reduce your carbon footprint.,2
Find three ways to improve the team workflow.,2
Rewrite the following sentence using succinct and formal language: ”The university provided its students with both necessary knowledge and life skills.”,2
Rate the customer service from 1 to 10,0
Create a 3D rendering of a house using the provided dimensions.,5
Relevance of classical studies for modern times,4
Find an example of a successful marketing plan,2
Write a function that takes an array and returns a new array with only the even numbers from the original array.,2
Make a list of at least three books,1
Compose a tweet with a maximum of 280 characters.,1
Design a logo for an imaginary peace organization.,3
"Calculate the mean of these 5 numbers: 2, 4, 10, 11, 13.",1
Construct a detailed world using the following objects.,3
"From the given text, identify two examples of symbolic meaning.",3
Analyze the advantages of working in a team.,2
What is the scoping rule of a variable?,2
Write the code for multiplying two matrices,3
Give me two examples of a type of bird.,0
Describe what a typical workday might look like for a computer programmer.,2
